date_bjt,time_bjt,match,team,home_adaptation_multiplier,travel_multiplier,weather_multiplier,cohesion_multiplier,injury_multiplier,opponent_attack_multiplier,tempo_multiplier,weather_high_c,travel_km,analysis_notes,source_urls
2026-06-15,04:00,Netherlands vs Japan,Netherlands,,0.97,0.99,0.99,0.98,1.00,1.00,30,7900,"Arlington forecast around 30C. RotoWire says Netherlands are slight favorites; Verbruggen is day-to-day with a hip issue. Sports Mole also notes wider Dutch injury absences, but the starting XI remains strong.","weather:Arlington 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/netherlands-vs-japan-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-f-117958; secondary:https://www.sportsmole.co.uk/football/netherlands/world-cup-2026/preview/netherlands-vs-japan-prediction-team-news-lineups_599059.html"
2026-06-15,04:00,Netherlands vs Japan,Japan,,0.96,0.99,1.02,0.96,1.02,1.00,30,10200,"Arlington forecast around 30C. RotoWire and Sports Mole both rate Japan as coherent and dangerous in transition, but Mitoma is out and Endo is not projected to start.","weather:Arlington 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/netherlands-vs-japan-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-f-117958; secondary:https://www.sportsmole.co.uk/football/netherlands/world-cup-2026/preview/netherlands-vs-japan-prediction-team-news-lineups_599059.html"
2026-06-15,07:00,Ivory Coast vs Ecuador,Ivory Coast,,0.96,1.01,1.00,1.00,1.05,0.97,33,7800,"Philadelphia forecast near 33C. Ivory Coast are warmer-climate adapted and athletic, but key defender Evan N'Dicka is ruled out, raising Ecuador's scoring chance.","weather:Philadelphia 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/ivory-coast-vs-ecuador-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-e-117960; secondary:https://www.sportsmole.co.uk/football/ivory-coast/world-cup-2026/preview/ivory-coast-vs-ecuador-prediction-team-news-lineups_599029.html"
2026-06-15,07:00,Ivory Coast vs Ecuador,Ecuador,,0.98,1.00,1.01,0.96,1.00,0.97,33,4500,"Philadelphia forecast near 33C. Ecuador's defensive structure is the main strength, but Enner Valencia is a game-time decision with a calf issue, lowering attack output.","weather:Philadelphia 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/ivory-coast-vs-ecuador-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-e-117960; secondary:https://www.sportsmole.co.uk/football/ivory-coast/world-cup-2026/preview/ivory-coast-vs-ecuador-prediction-team-news-lineups_599029.html"
2026-06-15,10:00,Sweden vs Tunisia,Sweden,,0.96,0.97,0.99,0.98,1.00,0.98,28,9300,"Monterrey forecast high near 28C, with late kickoff cooler. Sweden have elite striker pair Isak/Gyokeres, but Nygren is a game-time decision and Gudmundsson/Lindelof have minor fitness notes.","weather:Monterrey 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/sweden-vs-tunisia-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-f-117963; secondary:https://www.sportsmole.co.uk/football/sweden/world-cup-2026/preview/sweden-vs-tunisia-prediction-team-news-lineups_599031.html"
2026-06-15,10:00,Sweden vs Tunisia,Tunisia,,0.97,1.00,1.00,0.97,1.00,0.97,28,9900,"Monterrey forecast high near 28C, with Tunisia more heat-adapted. RotoWire describes Tunisia as organized and low-event; Hannibal is a game-time decision but projected to start.","weather:Monterrey 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/sweden-vs-tunisia-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-f-117963; secondary:https://www.sportsmole.co.uk/football/sweden/world-cup-2026/preview/sweden-vs-tunisia-prediction-team-news-lineups_599031.html"
2026-06-16,01:00,Spain vs Cape Verde,Spain,,0.98,0.99,1.00,0.98,1.00,0.99,28,7000,"Atlanta forecast high near 28C. Spain are heavy favorites with strong Barcelona-linked cohesion, but Lamine Yamal and Nico Williams are expected to be managed from the bench, so attack is only slightly reduced.","weather:Atlanta 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/spain-vs-cape-verde-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-h-118092; secondary:https://www.sportsmole.co.uk/football/spain/world-cup-2026/preview/spain-vs-cape-verde-prediction-team-news-lineups_599107.html; team_news:https://www.barcablaugranes.com/world-cup-2026/123471/spain-cape-verde-world-cup-2026-team-news-match-preview-lineups-prediction"
2026-06-16,01:00,Spain vs Cape Verde,Cape Verde,,0.98,1.01,1.00,1.00,1.00,0.99,28,6500,"Atlanta forecast high near 28C. Cape Verde are more heat-adapted and have no major injury signal, but they are World Cup debutants facing a large quality gap.","weather:Atlanta 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/spain-vs-cape-verde-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-h-118092; secondary:https://www.sportsmole.co.uk/football/spain/world-cup-2026/preview/spain-vs-cape-verde-prediction-team-news-lineups_599107.html"
2026-06-16,06:00,Belgium vs Egypt,Belgium,,0.97,1.00,1.00,1.00,1.00,1.00,26,7900,"Seattle forecast high near 26C, below heat threshold. Belgium remain group favorites; no strong new injury signal found in fixed preview sources.","weather:Seattle 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/belgium-vs-egypt-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-g-118093; secondary:https://www.sportsmole.co.uk/football/belgium/world-cup-2026/preview/belgium-vs-egypt-prediction-team-news-lineups_599081.html"
2026-06-16,06:00,Belgium vs Egypt,Egypt,,0.97,1.00,1.00,0.94,1.00,1.00,26,11000,"Seattle forecast high near 26C. Egypt's attack is built around Salah and Marmoush, but Guardian reports Salah is carrying a hamstring issue, reducing attacking output.","weather:Seattle 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/belgium-vs-egypt-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-g-118093; secondary:https://www.sportsmole.co.uk/football/belgium/world-cup-2026/preview/belgium-vs-egypt-prediction-team-news-lineups_599081.html; injury:https://www.theguardian.com/football/2026/jun/14/mohamed-salah-has-eyes-of-a-nation-on-him-as-egypt-look-to-end-92-year-wait"
2026-06-16,06:00,Saudi Arabia vs Uruguay,Saudi Arabia,,0.96,1.03,1.00,1.00,1.00,0.97,33,12300,"Miami Gardens forecast high near 33C. Saudi Arabia are heat-adapted, but the squad has long travel and limited preparation under a recently appointed coach.","weather:Miami Gardens 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/2026-world-cup-group-h-preview-spain-uruguay-saudi-arabia-cape-verde-tactics-lineups-set-pieces-odds-109699; travel:https://www.theguardian.com/football/2026/jun/15/uruguay-delayed-by-plane-paperwork-as-world-cup-travel-challenges-continue"
2026-06-16,06:00,Saudi Arabia vs Uruguay,Uruguay,,0.94,0.96,1.00,0.92,1.08,0.94,33,7200,"Miami Gardens forecast high near 33C. Guardian reports Uruguay had major travel disruption before kickoff, and Sports Mole lists multiple defensive/creative injury concerns, so Uruguay's attack and tempo are reduced while Saudi scoring chance is raised.","weather:Miami Gardens 2026-06-15 forecast; travel:https://www.theguardian.com/football/2026/jun/15/uruguay-delayed-by-plane-paperwork-as-world-cup-travel-challenges-continue; injury:https://www.sportsmole.co.uk/football/saudi-arabia/world-cup-2026/predicted-lineups/injury-concerns-for-bielsa-how-uruguay-could-line-up-vs-saudi-arabia_599117.html"
2026-06-16,12:00,Iran vs New Zealand,Iran,,0.98,1.00,1.00,1.00,1.00,1.00,23,12100,"Inglewood forecast high near 23C, no heat penalty. Iran relocated preparation to Mexico but no strong match-specific injury signal was found; this is treated as neutral after a small travel discount.","weather:Inglewood 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/iran-vs-new-zealand-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-g-118098; secondary:https://www.sportsmole.co.uk/football/iran/world-cup-2026/preview/iran-vs-new-zealand-prediction-team-news-lineups_599122.html; travel:https://timesofindia.indiatimes.com/sports/international-sports/iran-arrives-in-us-for-fifa-world-cup-match-against-new-zealand-following-landmark-peace-agreement/articleshow/131730768.cms"
2026-06-16,12:00,Iran vs New Zealand,New Zealand,,0.96,1.00,1.00,1.00,1.00,1.00,23,10500,"Inglewood forecast high near 23C, no heat penalty. New Zealand have long travel but no strong injury signal found in fixed preview sources.","weather:Inglewood 2026-06-15 forecast; preview:https://www.rotowire.com/soccer/article/iran-vs-new-zealand-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-g-118098; secondary:https://www.sportsmole.co.uk/football/iran/world-cup-2026/preview/iran-vs-new-zealand-prediction-team-news-lineups_599122.html"
2026-06-17,03:00,France vs Senegal,France,,0.97,1.00,1.00,0.99,1.01,1.02,26,6200,"East Rutherford forecast high near 26C, no heat penalty. France are close to full strength, but Jules Kounde is carrying a muscular issue. Attack remains elite with Mbappe, Dembele, Doue and Olise projected.","weather:East Rutherford 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/france-vs-senegal-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-118219; betting:https://www.rotowire.com/soccer/article/france-vs-senegal-picks-tips-odds-best-bets-2026-world-cup-group-i-118355; secondary:https://www.racingpost.com/sport/football-tips/world-cup-2026/france-vs-senegal-betting-tips-predictions-team-news-odds-bet-builder-awjzq9i1ar35/"
2026-06-17,03:00,France vs Senegal,Senegal,,0.97,1.01,1.00,0.98,1.03,1.02,26,7600,"East Rutherford forecast high near 26C, no heat penalty. Senegal are organized and athletic, with Mane and Jackson giving real transition threat; Koulibaly and several attackers have minor fitness notes, raising France scoring risk slightly.","weather:East Rutherford 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/france-vs-senegal-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-118219; betting:https://www.rotowire.com/soccer/article/france-vs-senegal-picks-tips-odds-best-bets-2026-world-cup-group-i-118355; secondary:https://www.racingpost.com/sport/football-tips/world-cup-2026/france-vs-senegal-betting-tips-predictions-team-news-odds-bet-builder-awjzq9i1ar35/"
2026-06-17,06:00,Iraq vs Norway,Iraq,,0.96,1.00,1.00,1.00,1.00,0.96,26,9600,"Foxborough forecast high near 26C, no heat penalty. Iraq have no major injury signal and are expected to defend compactly in a 4-4-2, with counters and set pieces as the realistic scoring route.","weather:Foxborough 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/iraq-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-118221; secondary:https://www.racingpost.com/sport/football-tips/world-cup-2026/iraq-vs-norway-betting-tips-predictions-team-news-odds-bet-builder-aaXwW1a7805C/; data:https://www.sportsmole.co.uk/football/world-cup/iraq-vs-norway_game_248739.html"
2026-06-17,06:00,Iraq vs Norway,Norway,,0.97,0.99,1.03,1.00,1.00,0.98,26,9200,"Foxborough forecast high near 26C, no heat penalty. Norway have no major injury signal; Haaland, Odegaard, Nusa and Sorloth are projected to start, but the matchup is against a deep block rather than an open game.","weather:Foxborough 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/iraq-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-118221; guardian:https://www.theguardian.com/football/2026/jun/15/erling-haaland-norway-world-cup-debut; secondary:https://www.sportsmole.co.uk/football/norway/world-cup-2026/predicted-lineups/who-supports-haaland-predicted-norway-xi-vs-iraq_599210.html"
2026-06-17,09:00,Argentina vs Algeria,Argentina,,0.97,1.00,1.00,0.98,1.00,0.94,28,8500,"Kansas City forecast high near 28C with morning thunderstorm risk, but kickoff is later. Messi, Martinez and Molina are projected to play, though Messi has a hamstring note and Tagliafico/Nico Gonzalez remain doubts, so attack is not pushed upward.","weather:Kansas City 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/argentina-vs-algeria-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-j-118222; secondary:https://www.racingpost.com/sport/football-tips/world-cup-2026/argentina-vs-algeria-betting-tips-predictions-team-news-odds-bet-builder-akzia3G1tqGe/"
2026-06-17,09:00,Argentina vs Algeria,Algeria,,0.97,1.01,1.00,0.98,1.05,0.94,28,8300,"Kansas City forecast high near 28C with morning thunderstorm risk, but kickoff is later. Algeria carry transition threat through Mahrez, Gouiri and Amoura, while Bensebaini is a major doubt, raising Argentina scoring risk.","weather:Kansas City 2026-06-16 forecast; preview:https://www.rotowire.com/soccer/article/argentina-vs-algeria-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-j-118222; secondary:https://www.racingpost.com/sport/football-tips/world-cup-2026/argentina-vs-algeria-betting-tips-predictions-team-news-odds-bet-builder-akzia3G1tqGe/"
2026-06-17,12:00,Austria vs Jordan,Austria,,0.97,1.00,1.00,0.96,1.02,1.00,28,9600,"Santa Clara forecast high near 28C but evening kickoff is expected to be cool. Austria are organized and pressing under Rangnick, but Baumgartner is out and Alaba/Wimmer/Grillitsch have injury concerns.","weather:Santa Clara 2026-06-16 forecast; local_weather:https://www.sfchronicle.com/sports/article/austria-jordan-meet-lights-levi-s-stadium-22305810.php; preview:https://www.rotowire.com/soccer/article/austria-vs-jordan-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-j-118225; secondary:https://www.sportsmole.co.uk/football/austria/world-cup-2026/preview/austria-vs-jordan-prediction-team-news-lineups_599171.html"
2026-06-17,12:00,Austria vs Jordan,Jordan,,0.97,1.01,1.00,1.00,1.00,1.00,28,11800,"Santa Clara evening kickoff should be cool. Jordan have no major injury signal in RotoWire and are expected to use a compact 3-4-3, with Musa Al-Taamari as the main transition outlet.","weather:Santa Clara 2026-06-16 forecast; local_weather:https://www.sfchronicle.com/sports/article/austria-jordan-meet-lights-levi-s-stadium-22305810.php; preview:https://www.rotowire.com/soccer/article/austria-vs-jordan-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-j-118225; secondary:https://www.sportsmole.co.uk/football/austria/world-cup-2026/preview/austria-vs-jordan-prediction-team-news-lineups_599171.html"
2026-06-19,00:00,Czechia vs South Africa,Czechia,,0.98,1.00,1.02,1.00,1.00,0.94,28,7800,"Atlanta venue is climate controlled; outside storms do not create heat penalty. Czechia need a result after losing the opener and retain set-piece/Schick threat, but the market leans under 2.5.","weather:Atlanta 2026-06-18 forecast; preview:https://www.rotowire.com/soccer/article/czechia-vs-south-africa-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-a-118513; odds:https://www.sportsgambler.com/betting-tips/football/czech-republic-vs-south-africa-prediction-lineups-odds-2026-06-18/; market:https://vsin.com/soccer/czechia-vs-south-africa-prediction-2026-fifa-world-cup-preview-and-pick/"
2026-06-19,00:00,Czechia vs South Africa,South Africa,,0.97,1.00,1.00,0.90,1.06,0.94,28,13200,"Atlanta venue is climate controlled. South Africa are missing Sphephelo Sithole and Themba Zwane through suspension after the Mexico match, weakening ball progression and raising Czechia scoring risk.","weather:Atlanta 2026-06-18 forecast; preview:https://www.rotowire.com/soccer/article/czechia-vs-south-africa-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-a-118513; odds:https://www.sportsgambler.com/betting-tips/football/czech-republic-vs-south-africa-prediction-lineups-odds-2026-06-18/; market:https://vsin.com/soccer/czechia-vs-south-africa-prediction-2026-fifa-world-cup-preview-and-pick/"
2026-06-19,03:00,Switzerland vs Bosnia and Herzegovina,Switzerland,,0.98,1.00,1.00,1.00,1.02,1.06,21,9600,"Inglewood forecast is cool and dry. Switzerland created strong chances against Qatar and have no reported injuries; market/media lean Switzerland and over 2.5.","weather:Inglewood 2026-06-18 forecast; betting:https://www.covers.com/world-cup/switzerland-vs-bosnia-prediction-picks-odds-thursday-6-18-2026; preview:https://africa.espn.com/football/story/_/id/49079683/fifa-world-cup-2026-switzerland-vs-bosnia-herzegovina-tv-channel-how-watch-kick-live-stream-referee-predicted-line-ups"
2026-06-19,03:00,Switzerland vs Bosnia and Herzegovina,Bosnia and Herzegovina,,0.97,1.00,1.00,0.94,1.03,1.06,21,10100,"Inglewood forecast is cool and dry. Bosnia have direct 4-4-2 threat but Dzeko, Sunjic and Tabakovic are listed as doubts/out in betting previews, slightly reducing finishing reliability.","weather:Inglewood 2026-06-18 forecast; betting:https://www.covers.com/world-cup/switzerland-vs-bosnia-prediction-picks-odds-thursday-6-18-2026; preview:https://africa.espn.com/football/story/_/id/49079683/fifa-world-cup-2026-switzerland-vs-bosnia-herzegovina-tv-channel-how-watch-kick-live-stream-referee-predicted-line-ups"
2026-06-19,06:00,Canada vs Qatar,Canada,1.04,1.00,1.00,1.00,1.02,1.02,1.00,20,3400,"Vancouver is cool and Canada have home crowd advantage. Davies has trained and is available, with David/Larin/Buchanan expected to drive a proactive attack.","weather:Vancouver 2026-06-18 forecast; team_news:https://www.theguardian.com/football/2026/jun/17/canada-qatar-world-cup-team-news-alphonso-davies; preview:https://www.rotowire.com/soccer/article/canada-vs-qatar-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-b-118506; odds:https://www.sportsgambler.com/betting-tips/football/canada-vs-qatar-prediction-lineups-odds-2026-06-18/"
2026-06-19,06:00,Canada vs Qatar,Qatar,,0.97,1.00,1.00,1.00,1.00,0.96,20,11700,"Vancouver is cool. Qatar are organized and can counter through Akram Afif, but market prices Canada as a heavy favorite and BTTS No is favored.","weather:Vancouver 2026-06-18 forecast; team_news:https://www.theguardian.com/football/2026/jun/17/canada-qatar-world-cup-team-news-alphonso-davies; preview:https://www.rotowire.com/soccer/article/canada-vs-qatar-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-b-118506; odds:https://www.sportsgambler.com/betting-tips/football/canada-vs-qatar-prediction-lineups-odds-2026-06-18/"
2026-06-19,11:00,Mexico vs South Korea,Mexico,1.04,1.00,1.00,1.00,0.97,1.06,0.96,28,0,"Zapopan kickoff weather is mild. Mexico have crowd and altitude edge, but Cesar Montes is suspended and external previews repeatedly flag this as close, with draw/under signals.","weather:Zapopan 2026-06-18 forecast; preview:https://www.rotowire.com/soccer/article/mexico-vs-south-korea-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-a-118510; odds:https://www.covers.com/world-cup/mexico-vs-south-korea-prediction-picks-odds-thursday-6-18-2026; report:https://www.theguardian.com/football/2026/jun/18/ceremony-to-celebration-mexico-south-korea-world-cup"
2026-06-19,11:00,Mexico vs South Korea,South Korea,,1.00,1.00,1.00,0.98,1.00,0.96,28,11100,"Zapopan kickoff weather is mild. South Korea prepared at altitude in Salt Lake City and carry counterattacking threat through Son/Lee, while two squad players remain doubtful.","weather:Zapopan 2026-06-18 forecast; preview:https://www.rotowire.com/soccer/article/mexico-vs-south-korea-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-a-118510; odds:https://www.covers.com/world-cup/mexico-vs-south-korea-prediction-picks-odds-thursday-6-18-2026; report:https://www.theguardian.com/football/2026/jun/18/ceremony-to-celebration-mexico-south-korea-world-cup"
2026-06-20,03:00,United States vs Australia,United States,1.04,1.00,1.00,1.00,0.96,1.04,1.04,26,0,"Seattle weather is mild. USA are at home and coming off a 4-1 opener, but Pulisic is a real doubt to start, reducing left-side creation. High press still creates early-goal potential.","weather:Seattle 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/usa-vs-australia-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-d-118651; analysis:https://www.sbnation.com/soccer/1118707/usa-vs-australia-world-cup-preview-analysis-and-tactics; news:https://nypost.com/2026/06/19/sports/usmnt-must-clear-a-new-bar-as-australia-awaits-in-world-cup/"
2026-06-20,03:00,United States vs Australia,Australia,,0.97,1.00,1.00,1.00,1.04,1.04,26,12500,"Seattle weather is mild. Australia are organized after beating Turkey and carry counter threat through Irankunda/Toure against the USA high line.","weather:Seattle 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/usa-vs-australia-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-d-118651; analysis:https://www.sbnation.com/soccer/1118707/usa-vs-australia-world-cup-preview-analysis-and-tactics; feature:https://www.theguardian.com/football/2026/jun/19/australia-v-usa-socceroos-usmnt-confected-hostility-2026-world-cup"
2026-06-20,06:00,Scotland vs Morocco,Scotland,,0.97,1.00,1.02,1.00,1.02,0.96,27,5100,"Foxborough is mild. Scotland have no major injury signal and are expected to defend deeper; a point may be valuable after opening with a win, with set pieces and McTominay runs as the main route.","weather:Foxborough 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/scotland-vs-morocco-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-118659; report:https://www.theguardian.com/football/2026/jun/18/clarke-warns-scotland-morocco-real-deal-world-cup; secondary:https://www.sportsmole.co.uk/football/scotland/world-cup-2026/preview/scotland-vs-morocco-prediction-team-news-lineups_599454.html"
2026-06-20,06:00,Scotland vs Morocco,Morocco,,0.98,1.00,1.00,1.00,1.00,0.98,27,6100,"Foxborough is mild. Morocco have no major injury signal, impressed against Brazil and should control possession, but Scotland's compact setup raises draw risk.","weather:Foxborough 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/scotland-vs-morocco-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-118659; report:https://www.theguardian.com/football/2026/jun/18/clarke-warns-scotland-morocco-real-deal-world-cup; secondary:https://www.sportsmole.co.uk/football/scotland/world-cup-2026/preview/scotland-vs-morocco-prediction-team-news-lineups_599454.html"
2026-06-20,09:00,Brazil vs Haiti,Brazil,,0.98,1.01,1.00,0.98,1.02,1.02,29,7700,"Philadelphia evening should be pleasant. Brazil need a response after the Morocco draw; Neymar is unlikely to start, but Vinicius/Raphinha/Cunha remain enough to create a large mismatch.","weather:Philadelphia 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/brazil-vs-haiti-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-118660; lineup:https://www.espn.com/soccer/story/_/id/49097937/brazil-haiti-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-referee-predicted-line-ups; odds:https://www.lineups.com/betting/brazil-vs-haiti-world-cup-match-preview-picks-odds-for-friday-june-19-2026/"
2026-06-20,09:00,Brazil vs Haiti,Haiti,,0.97,1.00,1.00,1.00,1.00,0.98,29,2600,"Philadelphia evening should be pleasant. Haiti have no major injury signal but are expected to defend deep for damage limitation; rare outlets come through Bellegarde and Isidor.","weather:Philadelphia 2026-06-19 forecast; preview:https://www.rotowire.com/soccer/article/brazil-vs-haiti-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-118660; lineup:https://www.espn.com/soccer/story/_/id/49097937/brazil-haiti-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-referee-predicted-line-ups; odds:https://www.lineups.com/betting/brazil-vs-haiti-world-cup-match-preview-picks-odds-for-friday-june-19-2026/"
