match,pre_match_shapes,observed_shapes,draw_multiplier,tempo_multiplier,favorite_attack_multiplier,underdog_attack_multiplier,notes
Switzerland vs Bosnia and Herzegovina,open_game;open_favorite,red_card_collapse;open_favorite,0.98,1.08,1.06,1.03,Both teams sit on one point and external previews lean over 2.5; Switzerland's high xG opener supports a more open Swiss-favorite profile.
Canada vs Qatar,low_block;transition_dog,red_card_collapse;home_pressure;open_mismatch,1.08,0.94,1.04,1.04,"Canada are favored with Davies available, but Qatar's likely low block and Afif transition route keep draw/underdog goal risk alive. Observed result was driven by Canadian high pressure plus Qatar going down to nine men, so do not convert this observed shape directly into future pre-match shape without card/discipline evidence."
Mexico vs South Korea,low_event;transition_dog,low_event_favorite,1.18,0.92,0.96,1.08,"Both teams already have three points, draw is acceptable, Mexico miss Montes, and South Korea counter threat plus altitude preparation support a lower-event draw-risk profile."
United States vs Australia,open_game;transition_dog,controlled_favorite;home_pressure,1.04,1.06,1.02,1.08,"Both teams won the opener. USA home press supports favorite pressure, but Australia counter speed against a high line keeps underdog-goal and transition risk alive. Observed USA controlled the result despite Pulisic absence, so future USA home-pressure signal should not be over-discounted."
Scotland vs Morocco,low_block;set_piece_risk,early_goal;low_event,1.20,0.92,0.94,1.08,"Scotland may defend deeper or use a back three, and a point has real group value. Morocco are stronger, but external previews repeatedly flag Scotland's organization and set-piece route. Observed match was decided by an early Morocco goal and stayed low scoring."
Brazil vs Haiti,open_mismatch;low_block,controlled_mismatch;low_event,0.94,1.04,1.06,0.90,"Brazil need a response and Haiti are heavy underdogs. Haiti's deep block can slow the breakthrough, but the mismatch and Brazil pressure keep 4-5 goals live. Observed Brazil won comfortably but lower than the 6-8 tail."
Switzerland vs Canada,controlled_favorite;low_event,,1.18,0.92,0.96,1.04,"Both teams have four points. Canada have home-region edge and scoring form, Switzerland are organized; game-state favors draw acceptance and controlled tempo."
Bosnia and Herzegovina vs Qatar,transition_dog;low_event,,0.96,0.98,1.04,1.04,"Both teams need a win, but Bosnia attack profile and Qatar compact/counter route point to modest tempo rather than pure open trading."
Scotland vs Brazil,controlled_favorite;low_block,,1.14,0.90,0.98,0.96,"Brazil are clear favorites, but Scotland's first two matches show low-event resistance. Heat hurts Scotland but does not by itself make the game open."
Morocco vs Haiti,open_mismatch;low_block,,0.94,1.06,1.08,0.90,Morocco are much stronger and Haiti are likely deep. Keep favorite mismatch while still allowing Haiti block to slow some attacks.
Czechia vs Mexico,controlled_favorite;transition_dog,,1.10,0.92,0.96,1.08,"Mexico already have six points and may manage the game; Czechia must chase, so Mexico edge remains but draw/counter volatility is live."
South Africa vs South Korea,transition_dog,,0.96,1.06,1.04,1.08,South Africa must win and South Korea have a strong transition/finishing route. This is more open than a normal underdog block.
Turkey vs Paraguay,must_win;transition_dog;low_event,early_goal;low_event;underdog_win,0.92,1.02,1.04,1.06,"Both teams have zero points, so a draw is poor, but external odds lean under 2.5. Keep Turkey favorite while preserving Paraguay counter/set-piece goal risk. Observed Paraguay scored very early and the match stayed low scoring."
Netherlands vs Sweden,transition_dog;set_piece_risk;heat_slowdown,open_favorite;collapse_risk,1.12,0.94,0.98,1.12,"Sweden already have three points, so draw acceptance rises. Netherlands should control the ball, but Sweden's direct attack and set pieces give underdog-goal risk. Houston midday heat/storm risk lowers pace. Observed match became a Netherlands blowout, so raise Netherlands state and lower Sweden defensive stability, but do not turn heat_slowdown into a general low-goal rule."
Germany vs Ivory Coast,open_favorite;transition_dog;credible_opponent,controlled_favorite;low_event,1.00,1.06,1.06,1.08,"Germany's opener supports high tempo, while Ivory Coast are not a passive low block and can counter. Keep Germany favorite but preserve both-team-scoring risk. Observed Germany won only 2-1, so Germany remain strong but high-goal confidence should be reduced against credible opponents."
Ecuador vs Curaçao,low_event_favorite;low_block;transition_dog,low_block;low_conversion,1.16,0.94,1.00,1.06,"Ecuador need points after losing, but Curaçao should defend deeper after the Germany loss. This raises draw and one-goal-risk more than it creates a clean mismatch. Observed 0-0 confirms Curaçao low block and Ecuador finishing/creation concern."
Tunisia vs Japan,open_favorite;transition_dog,open_favorite;collapse_risk,1.04,1.06,1.08,1.08,Japan showed transition quality against Netherlands and Tunisia's opener exposed defensive fragility. Tunisia's need for points and heat adaptation keep counter-goal risk alive. Observed Japan 4-0 confirms Japan upward form and Tunisia defensive collapse.
Spain vs Saudi Arabia,low_block;low_event_favorite;set_piece_risk,controlled_favorite;open_favorite,1.18,0.92,0.90,1.04,"Spain are heavy favorites, but Saudi Arabia are expected to defend compactly and a point is useful after both sides opened without defeat. Keep Spain win reference while raising draw/set-piece risk and avoiding a pure blowout profile. Observed Spain won 4-0, so Spain's finishing/state should rise and Saudi defensive resistance was overestimated."
Belgium vs Iran,transition_dog;set_piece_risk,low_event;low_conversion,1.08,1.04,1.00,1.08,"Belgium are favored, but Iran's opener showed more attacking life than the base rating implied. Keep Belgium edge while preserving Iranian set-piece/direct scoring risk. Observed 0-0 means Belgium attack was overestimated and Iran defensive resistance should rise for later matches."
Uruguay vs Cape Verde,low_block;must_win;transition_dog,low_block;transition_dog;underdog_draw,1.04,0.98,1.02,1.06,"Uruguay are favored and need a win path after opening with a draw. Cape Verde's low block limits blowout risk, but this should stay as a 2-3 goal Uruguay-win profile rather than a 0-0 profile. Observed 2-2 confirms Cape Verde are not a zero-goal underdog and Uruguay defensive stability should be reduced."
New Zealand vs Egypt,transition_dog;open_game,open_game;favorite_win,1.06,1.06,1.02,1.12,"New Zealand were underrated in the opener and Egypt need a win after losing to Belgium. This is more open than a pure Egypt-control game, with both-team-scoring risk. Observed Egypt won 3-1, confirming the open-game profile and New Zealand scoring route."
Portugal vs Uzbekistan,low_block;low_event_favorite,controlled_mismatch;collapse_risk,1.12,0.94,1.00,0.96,"Portugal are heavy favorites, but Houston heat and Uzbekistan's likely deep 3-4-2-1 make this a controlled favorite profile rather than an open mismatch. Observed 5-0 shows the low-block signal was directionally wrong once Portugal scored early; strong favorite finishing and opponent defensive collapse should override low-event tags when the favorite is this dominant."
England vs Ghana,open_favorite;credible_opponent,low_event;low_conversion,0.98,1.08,1.08,1.04,"England's attack is in strong form and external betting leans England team goals, while Ghana have enough physical/counter threat and England have shown defensive leakage. Observed 0-0 shows this was actually a low-conversion/low-event match; do not let external team-goals betting alone create a high-goal England profile."
Panama vs Croatia,must_win;controlled_favorite;transition_dog,low_event;controlled_favorite,0.96,0.96,1.03,0.98,"Both teams need points after opening losses, so draw utility is low. Croatia should control midfield and Panama miss Carrasquilla, so treat this as controlled favorite with counter risk rather than open game. Observed 0-1 supports that the original open-game tag was too strong."
Colombia vs DR Congo,transition_dog;set_piece_risk;credible_opponent,low_event;controlled_favorite,1.06,1.04,1.04,1.10,"Colombia are favored, but DR Congo's Portugal draw, compact shape and counter route make them a credible opponent rather than a zero-goal underdog. Observed 1-0 confirms the credible-opponent tag should often lower event volume rather than raise both-team-scoring risk."
Ecuador vs Germany,controlled_favorite;low_event_favorite,underdog_win;rotation_upset;low_conversion,1.06,0.94,0.96,0.98,"Germany had already qualified and rotated; Ecuador upset Germany 2-1. Treat as rotation-driven favorite underperformance, not a general Germany collapse."
Curaçao vs Ivory Coast,low_block;transition_dog,controlled_favorite;low_block,1.10,0.96,1.00,1.06,Ivory Coast won 2-0 against a Curacao deep block. Pre-match low block was valid but favorite control converted enough chances.
Japan vs Sweden,open_game;transition_dog,low_event;underdog_draw,1.04,1.06,1.04,1.08,Japan and Sweden drew 1-1; Japan form was real but Sweden striker route and draw utility kept the match close.
Tunisia vs Netherlands,open_mismatch;collapse_risk,open_favorite;favorite_win,0.92,1.08,1.10,0.92,"Netherlands won 3-1 as expected; Tunisia still scored once, so keep Tunisia defensive weakness without treating them as zero-goal only."
Turkey vs United States,transition_dog;controlled_favorite,rotation_upset;open_game;underdog_win,1.04,0.98,0.96,1.08,"Turkey beat already-qualified USA 3-2. Treat as third-round rotation/urgency upset plus open game, not a broad USA downgrade."
Paraguay vs Australia,low_event;must_win,low_event;low_conversion;underdog_draw,0.96,0.94,0.96,0.98,Paraguay and Australia drew 0-0. Almiron suspension and Australia draw utility made low-event diagnosis correct.
Norway vs France,controlled_favorite;transition_dog;credible_opponent,open_favorite;favorite_win,1.18,0.92,0.98,1.08,"Both teams have six points and are already through, so draw/low-contact game management matters. France are stronger, while Norway's Haaland route keeps underdog scoring risk alive; avoid a pure open-game read. Observed France won 4-1 after a Dembele hat-trick against rotated Norway, so the both-qualified slowdown was directionally wrong for this matchup."
Senegal vs Iraq,must_win;transition_dog,red_card_collapse;open_favorite;collapse_risk,0.94,1.06,1.04,1.08,"Both sides need a win path. Senegal should be favored, but Iraq have conceded heavily and must chase, so keep both-team-scoring and late-open risk. Observed Senegal 5-0 Iraq was red-card driven after Iraq went down to 10 men, so treat the margin as collapse-shaped."
Cape Verde vs Saudi Arabia,must_win;controlled_favorite;transition_dog,low_event;low_block;underdog_draw,1.04,1.00,1.00,1.06,"Cape Verde have stronger tournament state but injury/suspension pressure; Saudi Arabia must win. Keep Cape Verde edge while preserving draw and Saudi counter risk. Observed 0-0 confirmed low-event defensive resistance and Cape Verde qualification via draw."
Uruguay vs Spain,controlled_favorite;transition_dog,low_event;controlled_favorite;low_conversion,1.04,0.98,1.02,1.06,"Spain should control possession and have stronger lineup quality, but Uruguay must chase and can use Nunez/direct attacks. Avoid both a pure Spain blowout and a dead low-event read. Observed Spain won 1-0 in a low-quality, low-event match."
Egypt vs Iran,low_event;set_piece_risk;transition_dog,transition_dog;underdog_draw;late_var_swing,1.12,0.94,0.98,1.06,"Both can qualify and Egypt can live with a draw, while Iran have shown defensive resistance. Salah/Taremi routes keep one-goal and set-piece risk alive. Observed 1-1 kept Iran alive only as third-place candidate, with late VAR swing, so draw risk was real."
New Zealand vs Belgium,open_game;transition_dog,open_favorite;collapse_risk;underdog_goal,1.04,1.06,1.04,1.10,"Belgium need a win and New Zealand must win, with New Zealand already showing a scoring route. Treat as Belgium edge with open-game and underdog-goal risk. Observed Belgium won 5-1 after the second half opened up, while New Zealand still found a consolation route."
South Africa vs Canada,low_event;controlled_favorite;credible_opponent,low_event;controlled_favorite;favorite_win;late_goal,1.02,0.94,0.98,1.03,"Canada are favored and regain Davies, but South Africa's tournament profile is compact and low-event. Treat as Canada controlled favorite with South Africa counter/set-piece route, not an open mismatch. Observed Canada won 1-0 with a stoppage-time goal, confirming the low-event controlled-favorite shape."
Brazil vs Japan,controlled_favorite;transition_dog;credible_opponent,controlled_favorite;favorite_win;underdog_goal,1.08,0.98,1.00,1.08,"Brazil are stronger and in better defensive form, but Japan are unbeaten, use a stable 3-4-2-1 deep block plus counter structure, and have a recent win over Brazil. Treat as Brazil edge with Japan scoring/draw route, not a pure mismatch. Observed Brazil 2-1 Japan confirms Brazil edge and Japan scoring route."
Germany vs Paraguay,controlled_favorite;low_block;credible_opponent,low_event;underdog_draw;penalty_upset,1.10,0.94,1.00,0.98,"Germany are clear favorites, but Paraguay's last two group matches were clean-sheet, low-event survival games. Treat as Germany control against a compact block, not an automatic open mismatch. Observed 1-1 with Paraguay advancing on penalties confirms low-event draw risk and knockout upset risk."
Netherlands vs Morocco,credible_opponent;transition_dog;heat_slowdown,low_event;underdog_draw;penalty_upset,1.14,0.96,0.98,1.06,"Netherlands and Morocco are close in live strength. Morocco's Brazil draw, counter route and returning midfield/defensive options raise draw and upset risk, while Monterrey heat lowers tempo. Observed 1-1 with Morocco advancing on penalties confirms the close-match draw/upset route."
Panama vs England,controlled_favorite;transition_dog,controlled_favorite;favorite_win;low_event,1.04,0.98,0.99,1.04,"England can qualify with a draw and Panama have weak final-third output without Carrasquilla. Treat as England control with Panama counter/set-piece route, not a pure blowout. Observed 0-2 supports controlled favorite and low-event finish."
Croatia vs Ghana,controlled_favorite;credible_opponent;low_event,controlled_favorite;favorite_win;underdog_goal,1.06,0.96,0.99,1.03,"Croatia need the result, but Ghana's four points and England 0-0 show defensive resistance. Keep Croatia edge while lowering event volume. Observed Croatia 2-1 Ghana confirms Croatia edge and Ghana credible scoring route."
Colombia vs Portugal,low_event;controlled_favorite;credible_opponent,low_event;low_conversion;underdog_draw,1.14,0.92,0.96,1.02,"Colombia are already through and Portugal are close to qualification. Both have enough quality, but the group situation and Colombia control profile favor a measured match. Observed 0-0 confirms low-event draw and low conversion."
DR Congo vs Uzbekistan,low_event;transition_dog;collapse_risk,open_game;favorite_win;collapse_risk,0.98,1.00,1.01,1.05,"DR Congo are the better side, while Uzbekistan defensive collapse risk remains. DR Congo's own low-conversion profile keeps the main read narrow. Observed DR Congo 3-1 Uzbekistan shows DR Congo attack and open-game risk were underestimated."
Algeria vs Austria,credible_opponent;transition_dog,open_game;transition_dog;underdog_draw,1.00,1.00,1.01,1.03,"The teams are close and both can still progress. Keep both scoring routes alive without forcing either a draw-only or high-event read. Observed 3-3 shows this close must-score third-round shape can become an open draw."
Jordan vs Argentina,controlled_favorite;transition_dog;open_mismatch,controlled_favorite;favorite_win;rotation_control;underdog_goal,1.02,0.99,0.98,1.08,"Argentina are qualified and may manage minutes, while Jordan must chase. Preserve Argentina win path and high-score tail through Jordan's chase risk. Observed Argentina 3-1 Jordan after Messi started on the bench validates the rotation-control read while keeping Jordan scoring route."
Ivory Coast vs Norway,credible_opponent;transition_dog;low_event,favorite_win;underdog_goal;controlled_edge,1.10,0.96,0.98,1.06,"Ivory Coast are defensive and Norway have the Haaland route. Treat as Norway slight edge with draw and Ivory Coast scoring route, not a clean Norway mismatch. Observed Norway 2-1 Ivory Coast confirms Norway edge and Ivory Coast scoring route."
France vs Sweden,open_favorite;transition_dog;credible_opponent,favorite_win;controlled_favorite;clean_sheet,0.98,1.04,1.04,1.06,"France are clearly stronger and Sweden defense has conceded heavily, but Sweden's striker route keeps both-team-scoring risk alive. Observed France 3-0 Sweden confirms France edge but shows Sweden scoring route was overestimated."
Mexico vs Ecuador,low_event;controlled_favorite;credible_opponent,controlled_favorite;favorite_win;clean_sheet,1.16,0.92,0.98,1.02,"Mexico have home edge and clean sheets, while Ecuador are compact and upset Germany. Treat as low-event Mexico edge with serious draw route. Observed Mexico 2-0 Ecuador confirms Mexico controlled edge and Ecuador low attacking output."
England vs DR Congo,controlled_favorite;low_block;transition_dog,controlled_favorite;favorite_win;underdog_goal,1.08,0.92,0.96,1.05,"DR Congo are expected to use a 5-3-2 low block and England have enough quality to win but not enough current evidence for a blowout. Preserve underdog counter route. Observed England 2-1 confirms England edge and DR Congo one-goal route; model/market scores underweighted the underdog goal."
Belgium vs Senegal,credible_opponent;transition_dog;open_game,open_game;underdog_draw;extra_time_favorite_win,1.08,1.03,1.01,1.08,"Belgium and Senegal both arrive with strong recent attacking signals, while Senegal transition speed raises draw/upset and both-team-scoring risk. Observed Belgium 3-2 after extra time with 90-minute 2-2 validates open-game and regulation draw risk."
United States vs Bosnia and Herzegovina,controlled_favorite;transition_dog,controlled_favorite;favorite_win;clean_sheet,1.04,0.98,1.02,1.06,"USA have home edge and stronger attacking route, but Bosnia have veteran forwards and USA defensive leakage. Keep USA win path with Bosnia one-goal risk. Observed USA 2-0 confirms favorite win but shows Bosnia goal route was overestimated and total bucket was too high."
Spain vs Austria,controlled_favorite;credible_opponent;transition_dog,controlled_favorite;favorite_win;clean_sheet,1.06,0.98,0.98,1.08,"Spain are stronger but have repeated low-conversion signals against organized opponents; Austria press and set pieces keep a real scoring route. Avoid a Spain blowout-only read. Observed Spain 3-0 confirms Spain edge but shows Austria scoring route and 4-5 main bucket were too high."
Portugal vs Croatia,controlled_favorite;credible_opponent;low_event,controlled_favorite;favorite_win;underdog_goal,1.12,0.92,0.98,1.03,"Portugal are slight favorites, but Croatia's midfield control and knockout tempo point to a tight match with draw risk rather than open trading. Observed Portugal 2-1 confirms 2-3 total bucket and Croatia one-goal route."
Switzerland vs Algeria,credible_opponent;transition_dog;open_game,controlled_favorite;favorite_win;clean_sheet,1.06,1.04,1.02,1.08,"Switzerland are more stable, while Algeria's last match showed both attack and defensive gaps. Keep Swiss edge with both-team-scoring and high-event tail. Observed Switzerland 2-0 confirms Swiss edge but shows Algeria scoring route and open-game total were overestimated."
Australia vs Egypt,low_event;credible_opponent;transition_dog,low_event;underdog_draw;penalty_upset,1.12,0.92,0.96,1.05,"Australia and Egypt were close in live strength, with Egypt's Salah route but also knockout tempo suppression. Observed 1-1 with Egypt advancing on penalties confirms close-match draw/upset risk; the upset score should stay narrow, not 0-3."
Argentina vs Cape Verde,controlled_favorite;low_block;credible_opponent,low_event;underdog_draw;extra_time_favorite_win,1.12,0.90,0.95,1.04,"Argentina are elite but Cape Verde's tournament low block has repeatedly suppressed stronger attacks. Observed 90-minute 1-1 and Argentina extra-time win validates the upset draw route and Cape Verde defensive resistance."
Colombia vs Ghana,credible_opponent;low_event;low_conversion,low_event;low_conversion;favorite_win;clean_sheet,1.08,0.90,0.94,1.02,"Colombia had sustained pressure and the better chances, but their attack lacked fluency after the early Arias goal and failed to turn dominance into a second goal. Ghana offered little going forward, while Ati-Zigi made several saves. Observed Colombia 1-0 Ghana confirms favorite win, low conversion and a too-large 4-5 backup/high tail; do not treat this as a clean controlled-favorite template."
Canada vs Morocco,credible_opponent;low_event;transition_dog,controlled_favorite;favorite_win;clean_sheet,1.12,0.94,0.98,1.06,"Morocco are stronger in live ranking, but Canada have a compact knockout profile and Davies/David transition route. Observed Morocco won 3-0; win direction and 2-3 total bucket were right, while Canada's scoring route failed."
Paraguay vs France,low_block;low_event;credible_opponent,low_event;favorite_win;rough_physical;referee_lenient_anomaly,1.12,0.92,0.96,1.02,"France are clear favorites, but Paraguay's Germany upset came through compact survival and penalties. Observed France won 1-0; not an upset. Treat the low score as an abnormal rough/lenient-referee match, so it should not tune France attack downward."
Brazil vs Norway,credible_opponent;open_game;transition_dog,underdog_win;star_finishing;transition_dog;favorite_low_conversion,1.06,1.04,1.00,1.12,"Brazil are stronger, but Norway have a clear Haaland/Sorloth direct scoring route and Brazil are missing some attacking certainty. Observed Norway 2-1 confirms the star/direct route was real and Brazil edge was overstated."
Mexico vs England,credible_opponent;home_pressure;low_event,open_game;favorite_win;underdog_goal;red_card_event,1.14,0.94,0.98,1.08,"England are higher in live ranking, but Mexico have home altitude, four wins and zero conceded. Observed England 3-2 confirms England edge but shows the low-event total was too conservative; Quansah red card makes the high score partly event-driven."
Portugal vs Spain,credible_opponent;low_event;controlled_favorite,low_event;favorite_win;clean_sheet,1.16,0.92,0.96,1.03,"Spain are stronger and have a clean-sheet/control profile, while Portugal have a credible one-goal route but absences and doubts. Observed Spain 1-0 confirms the low-event Spain-edge read and Portugal's limited scoring route."
United States vs Belgium,credible_opponent;open_game;transition_dog;home_pressure,open_game;favorite_win;defensive_collapse;underdog_goal,1.06,1.04,1.01,1.10,"USA home advantage and Belgium attacking quality both support scoring routes. Observed Belgium 4-1 confirms the open-game/high-total signal, but USA defensive fragility was stronger than the draw/upset signal."
Argentina vs Egypt,controlled_favorite;low_block;credible_opponent;transition_dog,open_game;favorite_win;underdog_goal;underdog_strength_underestimated,1.12,0.92,0.98,1.06,"Argentina are stronger, but Egypt's knockout path and Salah/Marmoush transition route make this a compact favorite match rather than a blowout. Observed Argentina 3-2 confirms the favorite edge and high-total bucket, but Egypt strength and transition finishing were underestimated."
Switzerland vs Colombia,credible_opponent;low_event;controlled_favorite,low_event;underdog_draw;penalty_upset,1.14,0.90,0.96,1.03,"Colombia are slight favorites, while Switzerland are disciplined and in form. Observed 0-0 with Switzerland advancing on penalties confirms the low-event draw read exactly."
France vs Morocco,credible_opponent;low_event;controlled_favorite;transition_dog,low_event;favorite_win;clean_sheet;star_finishing,1.14,0.90,0.98,1.05,"France are stronger, but Morocco are live-rank 5, unbeaten in regulation and tactically compact. Observed France 2-0 confirms the QF low-event favorite read and backup exact score; Morocco's one-goal route was overestimated, but this is not a global parameter defect."
Spain vs Belgium,credible_opponent;low_event;controlled_favorite;transition_dog,low_event;favorite_win;underdog_goal;late_winner;keeper_injury_event,1.14,0.90,0.98,1.06,"Spain are stronger and have conceded zero goals, but Belgium's knockout attack and creator-finisher routes make them a credible opponent. Observed Spain 2-1 confirms the backup exact score and Belgium one-goal tail; Courtois injury is an event factor, not a global model parameter."
Norway vs England,credible_opponent;transition_dog;star_finishing,extra_time_favorite_win;underdog_goal;tight_game;favorite_low_fluency;star_finishing,1.08,1.00,1.00,1.12,"England are stronger overall, but Norway have Haaland/Sorloth direct finishing and have already beaten Brazil. Observed England 2-1 after extra time confirms England edge and Norway one-goal route, while total goals were much lower than the model high-tail read."
Argentina vs Switzerland,credible_opponent;low_event;controlled_favorite;set_piece_risk,extra_time_favorite_win;underdog_goal;red_card_event;late_goals,1.16,0.90,0.98,1.05,"Argentina are stronger, but Switzerland are defensively stable and just held Colombia 0-0. Observed Argentina 3-1 after extra time confirms Argentina edge and Swiss one-goal route; 90 minutes were 1-1, with red card and late extra-time goals widening the score."
France vs Spain,credible_opponent;low_event;transition_dog,style_edge_b;favorite_win;clean_sheet;low_event;france_attack_suppressed,1.04,0.92,0.96,1.06,"Recent H2H changes the pre-match shape: Spain beat France 2-1 in Euro 2024 and 5-4 in the 2025 Nations League, with Yamal/wide control creating a clear style clue. Observed Spain 2-0 confirms the style edge affected win direction and suppressed France's attack; the future direction should come from team style features and historical style-matchup edges, not this single-row pre-match tag."
England vs Argentina,credible_opponent;low_event;transition_dog;set_piece_risk,favorite_win;underdog_goal;late_comeback;star_playmaking;low_event,1.12,0.94,0.98,1.04,"SF elite matchup with strong individual finishers but clear caution incentives. Observed Argentina 2-1 confirms the 2-3 total bucket and England one-goal route, but the draw reference was too conservative; Argentina's late pressure and star-playmaking route broke the low-event stalemate."
France vs England,open_game;rotation;low_stakes,open_game;third_place_high_event;rotation;defensive_loose;high_total,0.96,1.10,1.08,1.08,"Third-place match had no title stakes and both teams played loose. Observed England 6-4 confirms high-event consolation dynamics; do not use it to tune title-contender final logic."
Spain vs Argentina,credible_opponent;final;low_event;star_playmaking;transition_dog,extra_time_favorite_win;low_event;clean_sheet;red_card_event;defense_suppression,1.16,0.90,0.97,1.05,"Final between live-rank 1 Spain and live-rank 2 Argentina. Spain have conceded only once and carry a control/suppression profile; Argentina have Messi set-piece/late-game route and have repeatedly scored 2+ goals. Observed Spain 1-0 after extra time confirms the low-event final shape and Spain clean-sheet route; Enzo Fernandez red card helped create the decisive extra-time edge, so do not use this as evidence for a global Argentina attack downgrade."
