date_bjt,time_bjt,team_a,team_b,score,source_1,source_2,notes
2026-07-08,00:00,Argentina,Egypt,3-2,https://apnews.com/article/egypt-world-cup-salah-argentina-b7426a5001c912eb82617433106d48c7,https://www.aljazeera.com/sports/liveblog/2026/7/7/argentina-vs-egypt-live-fifa-world-cup-2026,Argentina beat Egypt 3-2 in regulation after coming back from 0-2. Model win direction and top total bucket were correct, but Egypt strength and transition finishing were underestimated.
2026-07-08,04:00,Switzerland,Colombia,0-0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/switzerland-colombia-match-report-highlights,https://www.theguardian.com/football/2026/jul/08/switzerland-colombia-world-cup-2026-last-16-match-report,Switzerland and Colombia finished 0-0 through regulation and extra time; Switzerland advanced 4-3 on penalties. Model score and low-event read were exact.
2026-07-10,04:00,France,Morocco,2-0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-morocco-match-report-highlights,https://www.aljazeera.com/sports/2026/7/9/mbappe-and-dembele-net-as-france-beat-morocco-to-reach-world-cup-semifinal,France beat Morocco 2-0 in regulation with second-half goals from Mbappe and Dembele. Win direction and backup score were exact; main total bucket was too low but top2 total bucket hit.
2026-07-11,03:00,Spain,Belgium,2-1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/spain-belgium-match-report-highlights,https://www.aljazeera.com/sports/2026/7/10/spain-win-belgium-fifa-world-cup-quarterfinal,Spain beat Belgium 2-1 in regulation. The backup score was exact and top2 total bucket hit; Belgium scored through De Ketelaere and Courtois was forced off injured before Spain's late winner.
2026-07-12,05:00,Norway,England,1-2,https://apnews.com/article/f246f138c3a8563cb5a0e3f4037e930a,https://www.aljazeera.com/sports/liveblog/2026/7/11/norway-vs-england-live-fifa-world-cup-2026-quarterfinal,England beat Norway 2-1 after extra time after a 1-1 regulation draw. Win direction was right, but model total goals were too high; Haaland gave Norway a route while England needed late/extra-time finishing.
2026-07-12,09:00,Argentina,Switzerland,3-1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/argentina-switzerland-match-report-highlights,https://apnews.com/article/d47ccb4ac5b3af67eca1f82228155174,Argentina beat Switzerland 3-1 after extra time after a 1-1 regulation draw. Win direction was right, but the match was tighter than the final score; Swiss red card and late extra-time goals widened the score.
2026-07-15,03:00,France,Spain,0-2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,https://www.theguardian.com/football/world-cup-2026,Spain beat France 2-0 in regulation. The pre-match model already had H2H/style evidence but left the outcome as draw; this confirms the style edge should affect win direction, not only total-goal shape.
2026-07-16,03:00,England,Argentina,1-2,https://www.aljazeera.com/sports/2026/7/15/argentina-stun-england-in-2-1-comeback-win-to-reach-2026-world-cup-final,https://apnews.com/article/2ae6a218ae88248db6565ffd13f60d38,Argentina beat England 2-1 in regulation after England led. England's one-goal route and the 2-3 total bucket were right, but the model's draw reference underweighted Argentina's late-game pressure and star-playmaking route.
2026-07-19,05:00,France,England,4-6,https://www.aljazeera.com/sports/2026/7/18/saka-hat-trick-helps-england-down-france-to-win-world-cup-2026-bronze-final,https://www.theguardian.com/football/2026/jul/19/england-france-world-cup-third-place-playoff-match-report,England beat France 6-4 in a loose third-place game. This should be recorded as a high-event consolation match, not used to tune title-contender final logic.
2026-07-20,03:00,Spain,Argentina,1-0,https://apnews.com/article/fccc26aa12d9226e63d06b601b770617,https://www.theguardian.com/football/2026/jul/20/luis-de-la-fuente-spain-manager-coach-world-cup-win,Spain beat Argentina 1-0 after extra time to win the World Cup after a 0-0 regulation draw. Ferran Torres scored in the 106th minute after Enzo Fernandez was sent off. Regulation evaluation: predicted draw was correct and backup 0-0 was exact. Final decision layer: Spain one-goal win was covered by the market score direction.
